run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,configname,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,datetime,20210531-16:31:23,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,inifile,omnetpp.ini,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,iterationvars,"$numHosts=50, $iaMean=10",,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,iterationvarsf,"numHosts=50,iaMean=10-",,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,measurement,"$numHosts=50, $iaMean=10",,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,network,Aloha,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,processid,5637,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,repetition,1,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,replication,#1,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,resultdir,results,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,runnumber,95,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,runattr,,,seedset,95,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,itervar,,,iaMean,10,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,itervar,,,numHosts,50,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,param,,,Aloha.numHosts,50,,,,,,,,,
PureAlohaExperiment-95-20210531-16:31:23-5637,param,,,Aloha.host[*].iaTime,exponential(10s),,,,,,,,,
